tag	score	strategic_fit	hireability	priority	readiness	company	title	url	salary	comp_gate	why_it_matches	why_it_may_fail	recommended_resume_type	recommended_proof_points	salary_action	next_action	reasons
systems-escape-velocity	24	85	70	77	plausible	Anthropic	Solutions Architect, Applied AI (Government Technology)	https://job-boards.greenhouse.io/anthropic/jobs/5140405008	$240000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Main risk is proving direct role-specific depth quickly.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: solutions architect, applied ai; authority: architect; company priority: high_priority; salary signal: $240000; comp gate: salary meets $150K floor; hireability: plausible; hireability notes: federal SA path leverages clearance and domain, anchors: government technology
systems-escape-velocity	12	96	50	71	stretch	Cohere	Applied AI Engineer – Agentic Workflows	https://jobs.ashbyhq.com/cohere/1fa01a03-9253-4f62-8f10-0fe368b38cb9	$500	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Main risk is proving direct role-specific depth quickly.	operations_research_systems	Curriculum workflow modernization | FabricaTempus execution backend | AI-assisted workflow and development orchestration	Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: workflow, applied ai, agentic, agent; salary signal: $500; comp gate: salary meets $150K floor; hireability: stretch; hireability notes: anchors: workflow
systems-escape-velocity	24	88	54	69	stretch	Anthropic	Partner Solutions Architect, Applied AI	https://job-boards.greenhouse.io/anthropic/jobs/4950664008	$240000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Main risk is proving direct role-specific depth quickly.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: solutions architect, applied ai; authority: architect; company priority: high_priority; salary signal: $240000; comp gate: salary meets $150K floor; hireability: stretch
systems-escape-velocity	9	65	48	56	stretch	Glean	Founding Forward Deployed Engineer (Remote - US)	https://job-boards.greenhouse.io/gleanwork/jobs/4651991005	$160000-$270000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story. Work model or location appears survivable.	Main risk is proving direct role-specific depth quickly.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: forward deployed, deployed engineer; flex/location: remote; location fit: remote - us; salary signal: $160000-$270000; comp gate: salary meets $150K floor; hireability: stretch; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	9	76	39	56	low	Perplexity	Forward Deployed Engineer - Applied AI	https://jobs.ashbyhq.com/perplexity/aa511ea8-96e3-42ba-b28f-5e222170bcee	$205K-$335K	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: forward deployed, deployed engineer, applied ai; salary signal: $205K-$335K; comp gate: salary meets $150K floor; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	9	67	44	54	stretch	LangChain	Solutions Architect (Austin)Customer Engineering • Austin, TX • Full time • Remote	https://jobs.ashbyhq.com/langchain/da7cbabd-ceed-4d7d-ae25-f226cac0c1c1	$190K	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Main risk is proving direct role-specific depth quickly.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: solutions architect, customer engineer; authority: architect; flex/location: remote; salary signal: $190K; comp gate: salary meets $150K floor; hireability: stretch
systems-escape-velocity	9	67	44	54	stretch	LangChain	Solutions Architect (Dallas)Customer Engineering • Dallas, TX • Full time • Remote	https://jobs.ashbyhq.com/langchain/933a41a3-43ca-44de-a0ae-f541149151b7	$190K	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Main risk is proving direct role-specific depth quickly.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: solutions architect, customer engineer; authority: architect; flex/location: remote; salary signal: $190K; comp gate: salary meets $150K floor; hireability: stretch
systems-escape-velocity	5	56	44	49	stretch	Fiddler AI	Solutions Architect, Customer Success - US	https://jobs.ashbyhq.com/fiddler-ai/640c12b9-6a07-4be1-a542-d76e4240e2ff	$160000-$200000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Main risk is proving direct role-specific depth quickly.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: solutions architect; authority: architect; salary signal: $160000-$200000; comp gate: salary meets $150K floor; hireability: stretch
systems-escape-velocity	6	61	36	47	low	Modal	Forward Deployed Engineer - ML	https://jobs.ashbyhq.com/modal/0d9c249b-f305-4b0e-b325-3242ac7274e7	$355	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: forward deployed, deployed engineer; salary signal: $355; comp gate: salary meets $150K floor; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	6	61	36	47	low	Auctor	Forward Deployed Engineer	https://jobs.ashbyhq.com/auctor/73648a39-a671-469d-aa7d-f7bb8b3b6d46	$175000-$290000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: forward deployed, deployed engineer; salary signal: $175000-$290000; comp gate: salary meets $150K floor; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	5	53	41	46	low	LangChain	Solutions Architect	https://jobs.ashbyhq.com/langchain/0a5dd30c-6da1-4095-bd96-b16f27eeb333	$170K	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: solutions architect; authority: architect; salary signal: $170K; comp gate: salary meets $150K floor; hireability: low
systems-escape-velocity	5	53	41	46	low	Glean	Solutions Architect	https://job-boards.greenhouse.io/gleanwork/jobs/4508312005	$160000-$225000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: solutions architect; authority: architect; salary signal: $160000-$225000; comp gate: salary meets $150K floor; hireability: low
watch	17	40	48	44	stretch	Pinecone	Senior/Staff Software Engineer, Experience PlatformR&D • US Remote • Full time • Remote$190K – $270K • Offers Equity	https://jobs.ashbyhq.com/pinecone/773e953d-8f53-4313-93b4-35a553bad1cb	$190K-$270K	meets	Work model or location appears survivable.	Main risk is proving direct role-specific depth quickly.	mission_integration_advisory		Ask above $150K; pursue only if scope and work model hold.	Keep as a market signal, not an immediate application target.	authority: senior, staff; company priority: medium_priority; flex/location: remote; location fit: us remote; salary signal: $190K-$270K; comp gate: salary meets $150K floor; hireability: stretch; hireability notes: title-history risk: software engineer
watch	17	40	48	44	stretch	Pinecone	Senior/Staff Software Engineer, Search & Retrieval InfrastructureR&D • US Remote • Full time • Remote$190K – $270K • Offers Equity	https://jobs.ashbyhq.com/pinecone/7ef089cb-a721-4ad8-a6d0-c390e64991d2	$190K-$270K	meets	Work model or location appears survivable.	Main risk is proving direct role-specific depth quickly.	mission_integration_advisory		Ask above $150K; pursue only if scope and work model hold.	Keep as a market signal, not an immediate application target.	authority: senior, staff; company priority: medium_priority; flex/location: remote; location fit: us remote; salary signal: $190K-$270K; comp gate: salary meets $150K floor; hireability: stretch; hireability notes: title-history risk: software engineer
systems-escape-velocity	4	50	33	41	low	LangChain	Deployed Engineer (Austin)Deployed Engineering • Austin, TX • Full time • Remote	https://jobs.ashbyhq.com/langchain/937e131f-1055-4f1f-bd8a-f036e4ba0666	$150000-$250000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: deployed engineer; flex/location: remote; salary signal: $150000-$250000; comp gate: salary meets $150K floor; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	4	50	33	41	low	LangChain	Deployed Engineer (Charlotte)Deployed Engineering • Charlotte, NC • Full time • Remote	https://jobs.ashbyhq.com/langchain/d7454c6d-7025-4e46-befc-e23bedd8f452	$150000-$250000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: deployed engineer; flex/location: remote; salary signal: $150000-$250000; comp gate: salary meets $150K floor; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	4	50	33	41	low	LangChain	Deployed Engineer (Chicago)Deployed Engineering • Chicago, IL • Full time • Remote	https://jobs.ashbyhq.com/langchain/38947013-3d0c-4257-aa58-ab8fe247ea3e	$150000-$250000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: deployed engineer; flex/location: remote; salary signal: $150000-$250000; comp gate: salary meets $150K floor; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	4	50	33	41	low	LangChain	Deployed Engineer (Dallas)Deployed Engineering • Dallas, TX • Full time • Remote	https://jobs.ashbyhq.com/langchain/8b533cc4-6654-44b4-b3fc-004def2a9927	$150000-$250000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: deployed engineer; flex/location: remote; salary signal: $150000-$250000; comp gate: salary meets $150K floor; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	4	50	33	41	low	LangChain	Deployed Engineer (Raleigh)Deployed Engineering • Raleigh, NC • Full time • Remote	https://jobs.ashbyhq.com/langchain/733417d6-7b74-4260-95d9-3cabf85ce0b8	$150000-$250000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: deployed engineer; flex/location: remote; salary signal: $150000-$250000; comp gate: salary meets $150K floor; hireability: low; hireability notes: commercial FDE likely tests formal build depth
systems-escape-velocity	5	53	28	39	low	Smartsheet	Senior Forward Deployed AI Engineer	https://job-boards.greenhouse.io/smartsheet/jobs/7798778	$245000	meets	Systems/workflow/integration language fits the operator-to-systems-builder story.	Transition credibility is weak from current title history.	operations_research_systems		Ask above $150K; pursue only if scope and work model hold.	Use a systems/integration resume and emphasize forecasting, workflow, and execution tooling.	systems: forward deployed; authority: senior; salary signal: $245000; comp gate: salary meets $150K floor; hireability: low; hireability notes: AI/SWE title may expect formal engineering ladder
watch	3	24	42	34	stretch	Vercel	Software Engineer, Backend (Remote - United States)	https://job-boards.greenhouse.io/vercel/jobs/5430088004	$196000-$294000	meets	Work model or location appears survivable.	Main risk is proving direct role-specific depth quickly.	mission_integration_advisory		Ask above $150K; pursue only if scope and work model hold.	Keep as a market signal, not an immediate application target.	flex/location: remote; location fit: remote - united states; salary signal: $196000-$294000; comp gate: salary meets $150K floor; hireability: stretch; hireability notes: title-history risk: software engineer
